FechaActualizacion;Departamento;Provincia;Distrito;Ubigeo;CentroPoblado;UnidadTerritorial;CodigoIIEEQW;CodigoModularIIEE;CodigoAnexoIIEE;InstitucionEducativa;NivelEducativo;CodigoLocalMinedu;DireccionIIEE;NroUsuarios;ComiteCompra;Item;ModalidadAtencion
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;MIRAFLORES; AMAZONAS;3745;0259044;0;16203;PRIMARIA;0002886;MIRAFLORES S/N;36;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;MIRANA; AMAZONAS;3902;0262501;0;16791;PRIMARIA;0003027;MIRANA S/N;10;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;MONTE SECO; AMAZONAS;16464;0516708;0;16792;PRIMARIA;0003032;MONTESECO S/N;10;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;MONTENEGRO; AMAZONAS;16458;0516609;0;AVE MARIA;PRIMARIA;0003329;MONTENEGRO S/N;20;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;NAJEM; AMAZONAS;20479;0623249;0;17151;PRIMARIA;0004437;NAJEM;37;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;NARANJOS; AMAZONAS;1501;0223396;0;16584;PRIMARIA;0002928;NARANJOS S/N;6;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;NUEVA ESPERANZA; AMAZONAS;20497;0623678;0;17178;PRIMARIA;0003070;NUEVA ESPERANZA S/N;16;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;NUEVO GUAYAQUIL; AMAZONAS;34189;1307446;0;17822;PRIMARIA;0520562;NUEVO GUAYAQUIL SECTOR NUEVO GUAYAQUIL;5;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;NUEVO ILUCAN; AMAZONAS;20491;0623603;0;17179;PRIMARIA;0003089;NUEVO ILUCAN S/N;5;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;NUEVO PROGRESO; AMAZONAS;31462;1104447;0;17766;PRIMARIA;0003206;NUEVO PROGRESO;7;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;NUMPARQUE; AMAZONAS;3746;0259069;0;16205;PRIMARIA;0003225;NUMPARQUE S/N;58;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;PAIK; AMAZONAS;4476;0270488;0;16728;PRIMARIA;0004220;PAIK;35;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;PERLAMAYO; AMAZONAS;3900;0262485;0;16779;PRIMARIA;0003013;PERLAMAYO S/N;4;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;POMABAMBA; AMAZONAS;28283;0837849;0;17192;PRIMARIA;0003150;POMABAMBA S/N;2;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;RESERVA UJUCAMO; AMAZONAS;1503;0223438;0;16588;PRIMARIA;0002947;RESERVA UJUCAMO;3;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;SAN CRISTOBAL; AMAZONAS;29688;0926337;0;17299;PRIMARIA;0003188;SAN CRISTOBAL S/N;4;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;SAN FRANCISCO; AMAZONAS;1575;0224196;0;16664;PRIMARIA;0002985;SAN FRANCISCO S/N;4;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;SAN JUAN DE DIOS; AMAZONAS;1504;0223446;0;16589;PRIMARIA;0002952;SAN JUAN DE DIOS;21;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;SANTA CLARA; AMAZONAS;17263;0544791;0;17177;PRIMARIA;0003065;SANTA CLARA S/N;19;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;SELVA VERDE; AMAZONAS;20493;0623629;0;17184;PRIMARIA;0003112;SELVA VERDE S/N;13;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;SHAIM; AMAZONAS;15726;0491886;0;16358;PRIMARIA;0003975;SHAIM;57;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;SHAWI; AMAZONAS;121880;1663335;0;17867;PRIMARIA;745401;SHAWI;15;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;SOLDADO OLIVA; AMAZONAS;121883;0223412;0;16586;PRIMARIA;002933;SOLDADO OLIVA;4;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;TSUNT SUNTSA; AMAZONAS;20496;0623660;0;17139;PRIMARIA;0004338;TSUNTSUNTSA S/N;34;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;TUTUMBEROS; AMAZONAS;3747;0259077;0;16206;PRIMARIA;0003230;TUTUMBEROS S/N;34;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;TUTUMBEROS; AMAZONAS;11318;0402297;0;16320;PRIMARIA;0003824;TUTUMBEROS;112;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;UNION MALVINAS; AMAZONAS;20492;0623611;0;17186;PRIMARIA;0003126;UNION MALVINAS;4;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;VALENCIA; AMAZONAS;82249;0926857;0;16204;PRIMARIA;0002891;VALENCIA;3;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;VISTA ALEGRE; AMAZONAS;28280;0837757;0;17191;PRIMARIA;0003145;VISTA ALEGRE S/N;9;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;ZAPOTAL; AMAZONAS;3741;0259002;0;16199;PRIMARIA;0002848;ZAPOTAL S/N;15;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;EL MUYO; AMAZONAS;117532;0521500;0;AMAZONAS;SECUNDARIA;003254;CALLE BELAUNDE TERRY S/N;177;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;EL MUYO; AMAZONAS;114000;1307560;0;16040 SAN JOSE;SECUNDARIA;003334;CALLE AMERICA 113;153;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;NAJEM; AMAZONAS;108599;1718790;0;SEGUNDO ROMULO GUERRA ROJAS;SECUNDARIA;801010;NAJEM;47;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;TUTUMBEROS; AMAZONAS;105565;0768606;0;16206;SECUNDARIA;003230;TUTUMBEROS S/N;76;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;ARAMANGO;010202;TUTUMBEROS; AMAZONAS;105583;1693233;0;GERARDO WEEPIU DAEKAT;SECUNDARIA;776888;TUTUMBEROS;80;AMAZONAS 1;ARAMANGO;PRODUCTOS
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;92336;0263269;0;201 NIÑO JESUS DE PRAGA;INICIAL;0520454;JIRON COMERCIO S/N;238;AMAZONAS 1;BAGUA;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;60692;0594564;0;16194;INICIAL;0002075;JIRON ICA S/N;252;AMAZONAS 1;BAGUA;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;22340;0676544;0;223;INICIAL;0520374;PASAJE LORETO S/N SECTOR VISTA HERMOSA;53;AMAZONAS 1;BAGUA;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;25648;0745000;0;229;INICIAL;0520468;AVENIDA MANUEL SEOANE CORRALES 638;34;AMAZONAS 1;BAGUA;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;25649;0745018;0;AGROPECUARIO TORIBIO RODRIGUEZ DE MENDOZA;INICIAL;0002513;AVENIDA AGROPECUARIA S/N;111;AMAZONAS 1;ARAMANGO;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;26516;0767954;0;239;INICIAL;0520425;JIRON MOQUEGUA S/N;73;AMAZONAS 1;BAGUA;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;62289;1307438;0;16192;INICIAL;0002099;AVENIDA MARIANO MELGAR S/N;143;AMAZONAS 1;BAGUA;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;60688;1372929;0;267;INICIAL;0534677;JIRON CAJAMARCA S/N;13;AMAZONAS 1;ARAMANGO;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;36386;1412279;0;16193;INICIAL;0002103;JIRON COMERCIO 364;134;AMAZONAS 1;BAGUA;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;92335;1546282;0;LA INMACULADA;INICIAL;0002462;JIRON CAJAMARCA 850;149;AMAZONAS 1;BAGUA;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;39321;1546290;0;EMBLEMATICO MANUEL ANTONIO MESONES MURO;INICIAL;0002457;JIRON MARIANO MELGAR 305;168;AMAZONAS 1;BAGUA;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;92334;1643162;0;331;INICIAL;0726577;BRUJO PATA SECTOR BRUJO PATA;15;AMAZONAS 1;BAGUA;RACIONES
30/09/2023;AMAZONAS;BAGUA;BAGUA;010201;BAGUA; AMAZONAS;132318;1735711;0;1;INICIAL;;JIRON PIURA S/N;3;AMAZONAS 1;ARAMANGO;RACIONES
